"Daily Weather Observations for Melbourne (Olympic Park), Victoria for February 2025"
"Prepared at 13:01 UTC on Friday 13 March 2026   IDCJDW3033.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,14.9,29.3,0,,,SW,22,14:55,18.0,70,,NE,6,1019.9,26.1,53,,SW,9,1014.5
,2025-02-2,17.8,39.3,0,,,SSE,44,18:58,29.3,35,,N,19,1014.5,37.2,27,,NNW,20,1011.2
,2025-02-3,20.9,37.8,14.4,,,NW,31,15:22,24.8,61,,NNE,11,1011.3,36.4,27,,ENE,7,1009.8
,2025-02-4,24.1,37.3,0,,,SSW,46,15:48,29.0,40,,ENE,6,1008.0,27.2,56,,SSW,22,1006.7
,2025-02-5,17.5,23.2,0,,,SW,37,15:32,17.8,60,,SE,11,1015.0,21.8,58,,SSW,15,1013.1
,2025-02-6,16.9,31.2,0,,,SSW,33,17:14,21.2,74,,ENE,6,1011.8,28.5,54,,SSW,11,1008.2
,2025-02-7,19.6,23.9,0,,,SSW,39,16:52,20.3,89,,SSW,6,1009.0,23.1,71,,SSW,11,1008.8
,2025-02-8,17.4,22.1,0,,,SE,39,19:01,19.2,61,,SSW,13,1012.3,20.0,67,,S,11,1010.9
,2025-02-9,17.6,28.3,0,,,SE,54,17:26,19.9,67,,SE,17,1011.5,27.6,43,,SE,19,1008.7
,2025-02-10,18.7,27.0,0,,,SE,46,17:43,20.0,72,,SE,11,1014.5,26.1,47,,SE,19,1012.9
,2025-02-11,19.0,31.5,0,,,ESE,30,17:22,21.7,73,,NNE,2,1012.8,27.5,54,,S,13,1010.4
,2025-02-12,18.4,33.9,0,,,SE,24,19:11,22.6,73,,NNE,6,1011.4,31.3,41,,SSW,11,1007.9
,2025-02-13,22.6,34.8,0,,,N,54,11:59,27.6,47,,N,20,1004.2,34.1,31,,N,28,1000.5
,2025-02-14,16.8,23.2,5.0,,,SSW,44,20:17,18.9,66,,SW,9,1007.7,23.0,50,,SSW,13,1005.6
,2025-02-15,13.6,17.9,2.8,,,SSW,54,18:02,14.9,66,,W,11,1008.0,15.4,53,,S,17,1009.9
,2025-02-16,9.9,18.5,15.0,,,W,54,01:49,12.8,69,,S,15,1016.9,17.2,49,,SSW,15,1019.2
,2025-02-17,11.4,20.4,0.8,,,ESE,28,09:08,16.9,50,,SSE,4,1022.0,19.3,51,,SSW,15,1019.9
,2025-02-18,11.9,21.1,0,,,S,39,13:51,16.4,73,,W,9,1018.0,17.4,76,,S,20,1017.7
,2025-02-19,15.3,19.8,0.4,,,SSW,39,15:59,16.0,58,,SSE,11,1018.7,18.3,60,,S,19,1018.8
,2025-02-20,15.0,20.3,0,,,,,,16.6,59,,SE,13,1023.5,19.5,46,,SSW,17,1023.3
,2025-02-21,10.8,32.4,0,,,NE,26,16:14,13.7,71,,NE,11,1024.0,27.3,46,,SSW,7,1018.6
,2025-02-22,13.7,36.3,0,,,N,52,10:54,26.3,42,,N,11,1016.7,34.8,29,,N,22,1012.0
,2025-02-23,26.2,29.6,0,,,N,65,01:59,27.0,49,,NNW,20,1010.1,23.7,68,,SSW,13,1011.4
,2025-02-24,15.9,23.0,6.8,,,S,35,17:50,17.6,71,,WSW,7,1021.4,21.4,54,,S,13,1022.5
,2025-02-25,15.7,24.0,0,,,SSW,31,15:35,17.1,68,,S,13,1025.8,23.0,55,,SW,11,1021.8
,2025-02-26,15.5,35.2,0,,,S,39,16:27,22.1,61,,N,11,1017.3,34.4,19,,S,13,1014.1
,2025-02-27,18.0,23.9,0,,,SSW,30,16:46,19.4,68,,SE,6,1018.1,23.6,58,,SSW,9,1014.2
,2025-02-28,17.4,26.4,0,,,SSW,30,16:37,19.8,60,,WSW,13,1015.6,25.6,49,,S,11,1014.0
